Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-890.802137628704	2	2	0
200	-897.531625232759	1	4	1
300	-905.191489686363	3	2	3
400	-915.130163426494	4	7	1
500	-889.407238246133	2	2	1
600	-891.094435382876	3	2	0
700	-910.120126650801	3	4	3
800	-901.131267737146	4	2	2
900	-893.382657445108	4	2	0
1000	-897.915306672168	3	2	2
1100	-894.262706784979	2	4	0
1200	-919.33532561132	2	7	3
1300	-895.944020554648	1	5	1
1400	-893.316448258527	1	3	1
1500	-900.228441705458	2	2	2
1600	-891.753959033747	2	2	1
1700	-901.880478297491	3	4	1
1800	-898.781969853444	2	5	1
1900	-900.141990983232	3	4	1
2000	-898.796170523869	1	5	2
2100	-892.495850925447	2	1	2
2200	-900.144277046015	1	6	1
2300	-887.579418356307	3	1	0
2400	-893.974459813688	3	2	1
2500	-893.003061689641	3	3	0
2600	-894.631822890675	3	3	0
2700	-889.560163025623	1	3	1
2800	-894.624224271092	1	2	2
2900	-902.287044734907	3	3	2
3000	-893.965626262607	3	2	1
3100	-896.233084039781	2	5	0
3200	-889.385842335469	2	3	0
3300	-899.411866557568	3	2	2
3400	-890.908179268209	3	2	0
3500	-901.638652507113	2	4	2
3600	-887.854872236931	3	1	0
3700	-903.285832878764	4	4	1
3800	-906.413755404845	3	5	1
3900	-890.734898107287	3	2	0
4000	-892.898363939138	3	1	1
4100	-887.870293611886	2	1	1
4200	-913.577856395737	1	7	2
4300	-896.866504489748	3	3	1
4400	-903.149897248083	3	3	2
4500	-899.545995877406	4	2	1
4600	-894.31470834687	4	2	0
4700	-906.320640977891	3	5	1
4800	-900.969166664502	2	3	2
4900	-907.138874821734	5	3	2
5000	-889.960440531894	1	4	0
5100	-896.262402214185	2	1	2
5200	-906.813142944579	4	2	3
5300	-902.607677312196	2	6	0
5400	-895.7276610296	1	3	2
5500	-892.553082885698	2	1	2
5600	-889.932095477927	1	2	1
5700	-890.006129856997	1	2	1
5800	-886.523699637894	2	2	0
5900	-906.194889882786	1	3	4
6000	-893.833609358313	3	2	1
6100	-901.092117559029	3	3	2
6200	-896.691883522929	2	1	3
6300	-903.932598948635	2	3	3
6400	-893.231775091347	2	4	0
6500	-910.000141779059	4	3	3
6600	-899.804164829869	5	3	0
6700	-897.615198552985	3	4	1
6800	-909.711369144801	6	4	1
6900	-894.519254851499	1	1	3
7000	-888.035362137863	1	1	1
7100	-890.190229306887	2	2	1
7200	-899.414034038684	4	3	1
7300	-903.500451509705	3	3	2
7400	-890.154815602583	4	1	0
7500	-892.870852980758	2	2	2
7600	-907.49085430756	3	4	3
7700	-894.669873763707	3	3	0
7800	-898.410614739865	3	1	2
7900	-888.732411060156	2	3	0
8000	-893.628670963292	4	2	0
8100	-903.291081841915	3	3	2
8200	-913.352921032244	5	4	1
8300	-894.52467848085	3	2	1
