Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-2902.50802271605	4	3	2
200	-2906.49565423006	5	2	4
300	-2900.34014827897	6	2	3
400	-2922.53788634516	8	3	4
500	-2910.56358351348	7	4	3
600	-2903.92107039632	6	3	3
700	-2907.05205281338	6	3	4
800	-2920.46724928418	8	2	4
900	-2930.86452277423	8	4	6
1000	-2908.13045142823	7	3	2
1100	-2901.33954026518	8	2	2
1200	-2902.49429471626	6	2	3
1300	-2901.99603126351	7	3	2
1400	-2905.46570822844	7	2	4
1500	-2893.98982260811	6	4	2
1600	-2906.95675215692	8	3	3
1700	-2914.01780569389	8	2	4
1800	-2916.31196234726	7	6	4
1900	-2925.83304381299	7	3	8
2000	-2892.73977837248	6	2	3
2100	-2914.30748249327	8	2	5
2200	-2905.11127362235	7	3	4
2300	-2908.16156024686	7	4	4
2400	-2925.90748796168	9	4	6
2500	-2934.95100786507	10	4	6
2600	-2915.02336083828	9	3	4
2700	-2911.10641705022	9	4	2
2800	-2919.0823384124	9	3	4
2900	-2909.81245622757	8	3	4
3000	-2904.06896319727	6	2	4
3100	-2920.79897434951	7	5	5
3200	-2902.03049590833	8	3	2
3300	-2911.05636771661	7	3	4
3400	-2911.3442096081	7	4	3
3500	-2900.23962800863	4	3	3
3600	-2920.10134725308	4	5	5
3700	-2901.75214882501	7	4	2
3800	-2906.6851778906	6	2	4
3900	-2915.84772657887	7	4	3
4000	-2930.07092670083	11	2	5
4100	-2898.00988274298	5	3	2
4200	-2903.80400363333	5	4	3
4300	-2907.77653538652	6	4	3
4400	-2904.75511414504	8	3	2
4500	-2910.13908432278	10	4	1
4600	-2925.40818239343	8	2	7
4700	-2902.26253852261	6	3	3
4800	-2916.88129143833	10	2	4
4900	-2914.35122261094	8	3	4
5000	-2895.23251971157	7	3	2
5100	-2910.4852313894	8	3	3
5200	-2910.36286793132	7	4	3
5300	-2916.66509045788	8	2	5
5400	-2919.53653007978	5	2	7
5500	-2895.23409956463	6	2	2
5600	-2898.84108200779	6	2	3
5700	-2897.99629606472	6	2	3
5800	-2912.28635263606	7	4	3
5900	-2907.5572273544	6	4	3
6000	-2918.38078073504	6	3	5
6100	-2919.96769976155	9	2	3
6200	-2919.29245683192	9	3	4
6300	-2911.4958035297	7	3	4
6400	-2902.8458231304	9	1	2
6500	-2934.48039166403	8	5	6
6600	-2926.36756619926	8	4	4
6700	-2922.69315743485	9	3	5
6800	-2920.56746471013	7	4	4
6900	-2902.23821492636	7	1	4
7000	-2910.02654583645	8	1	4
7100	-2916.33253206479	6	3	5
7200	-2910.71934363309	5	4	4
7300	-2919.23837296669	8	2	5
7400	-2911.83278715437	8	2	5
7500	-2933.06652887368	8	2	6
7600	-2921.67265432361	9	4	3
7700	-2906.17979531807	6	4	2
7800	-2903.94377879385	5	3	3
7900	-2906.95407899785	5	4	3
8000	-2895.51752986726	6	2	3
8100	-2894.09432271202	7	2	1
8200	-2911.1165017394	7	3	3
8300	-2927.36947217013	7	4	6
8400	-2908.57171018982	7	3	2
8500	-2922.71989272297	8	3	5
8600	-2907.59167380867	8	2	3
8700	-2919.64735582233	8	2	6
8800	-2897.27912579153	8	3	1
8900	-2903.2216769116	7	2	4
9000	-2908.39386856346	9	2	2
9100	-2916.45108498537	7	4	2
9200	-2903.73207747231	7	4	3
9300	-2910.21540594376	7	3	4
9400	-2918.26469111674	9	4	2
9500	-2931.39729891272	10	5	4
9600	-2915.90134207284	7	5	3
9700	-2911.06432898286	7	4	3
9800	-2926.28270606682	7	1	6
9900	-2920.47209558993	8	2	4
10000	-2915.51947699568	7	2	6
10100	-2924.88735592878	9	4	5
10200	-2920.87870143012	8	7	3
10300	-2926.43808638905	7	3	7
