name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Monodelphis_touan	NA	NA	NA	1185514	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_scalops	NA	NA	NA	943246	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_iheringi	NA	NA	NA	587434	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_kunsi	NA	NA	NA	203681	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_reigi	NA	NA	NA	461410	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_adusta	NA	NA	NA	42726	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_peruviana	NA	NA	NA	372564	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_brevicaudata	NA	NA	NA	203680	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_osgoodi	NA	NA	NA	372560	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_emiliae	NA	NA	NA	126299	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_americana	NA	NA	NA	694061	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_domestica	NA	NA	NA	13616	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_umbristriata	NA	NA	NA	979183	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_sorex	NA	NA	NA	943245	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_dimidiata	NA	NA	NA	433365	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_glirina	NA	NA	NA	943244	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_handleyi	NA	NA	NA	376626	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_arlindoi	NA	NA	NA	1185641	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Monodelphis_theresa	NA	NA	NA	225403	NA	NA	NA	13615	NA	NA	126287	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
