name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Spilocuscus_rufoniger	NA	NA	NA	114229	NA	NA	NA	114228	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_lullulae	NA	NA	NA	88212	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_vestitus	NA	NA	NA	175809	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_maculatus	NA	NA	NA	88213	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_carmelitae	NA	NA	NA	38623	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_orientalis	NA	NA	NA	42473	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Strigocuscus_pelengensis	NA	NA	NA	596271	NA	NA	NA	293817	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Ailurops_ursinus	NA	NA	NA	165204	NA	NA	NA	165203	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_sericeus	NA	NA	NA	175808	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Phalanger_gymnotis	NA	NA	NA	65615	NA	NA	NA	38622	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Spilocuscus_maculatus	NA	NA	NA	175810	NA	NA	NA	114228	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Strigocuscus_celebensis	NA	NA	NA	293818	NA	NA	NA	293817	NA	NA	NA	9335	NA	NA	NA	NA	38609	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
