name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Ornithorhynchus_anatinus	NA	NA	NA	9258	NA	NA	NA	9257	NA	NA	NA	9256	NA	NA	NA	NA	9255	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Tachyglossus_aculeatus	NA	NA	NA	9261	NA	NA	NA	9260	NA	NA	NA	9259	NA	NA	NA	NA	9255	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Zaglossus_bruijni	NA	NA	NA	33543	NA	NA	NA	33542	NA	NA	NA	9259	NA	NA	NA	NA	9255	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Hyladelphys_kalinowskii	NA	NA	NA	342585	NA	NA	NA	342584	NA	NA	NA	9265	NA	NA	NA	NA	38605	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Rhyncholestes_raphanurus	NA	NA	NA	33559	NA	NA	NA	33558	NA	NA	NA	30659	NA	NA	NA	NA	38606	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Caenolestes_fuliginosus	NA	NA	NA	37696	NA	NA	NA	37886	NA	NA	NA	30659	NA	NA	NA	NA	38606	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Lestoros_inca	NA	NA	NA	42731	NA	NA	NA	42730	NA	NA	NA	30659	NA	NA	NA	NA	38606	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dromiciops_gliroides	NA	NA	NA	33562	NA	NA	NA	33561	NA	NA	NA	30660	NA	NA	NA	NA	38607	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Thylacinus_cynocephalus	NA	NA	NA	9275	NA	NA	NA	9274	NA	NA	NA	9273	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dasyurus_viverrinus	NA	NA	NA	9279	NA	NA	NA	9278	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dasyurus_hallucatus	NA	NA	NA	9280	NA	NA	NA	9278	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dasyurus_maculatus	NA	NA	NA	9281	NA	NA	NA	9278	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dasyurus_albopunctatus	NA	NA	NA	32545	NA	NA	NA	9278	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dasyurus_spartacus	NA	NA	NA	32546	NA	NA	NA	9278	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Dasyurus_geoffroii	NA	NA	NA	63143	NA	NA	NA	9278	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Antechinus_stuartii	NA	NA	NA	9283	NA	NA	NA	9282	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Antechinus_swainsonii	NA	NA	NA	9284	NA	NA	NA	9282	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Antechinus_naso	NA	NA	NA	38774	NA	NA	NA	9282	NA	NA	NA	9277	NA	NA	NA	NA	38608	NA	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
