taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	
Conepatus leuconotus								GU931067											GU930899	AY587093							
Zalophus wollebaeki						EF512215														AM945031	HE663122						
Meles leucurus					GU247567						AB551119	AB539133								HQ711951							
Mydaus marchei							GU930863										GU931258		GU930900	AY587074					U78342		
Neophoca cinerea		EF094869				AF384412							AB697517		EF465498					AF380915							
Phocarctos hookeri						AF384413								EF440388						U12851	DQ354689			U12850			
Bassariscus sumichrasti							DQ660170												DQ660184	DQ660301		DQ660247	DQ660261			DQ660198	
Lyncodon patagonicus				AB564056					AB564059										AB564055	AB564060			AB564061				
Conepatus chinga							GU930862		GU931124							GU931100	GU931257			L27296		GU931185				GU930997	
Mydaus javanensis				AB371328	AY750596				AB564094							AB564093			AB371314	AB564095			AB371341				
Melogale personata							EF987518										EF988013		EF987544	EF987756		EF987970	EF987988			EF987643	
Procyon cancrivorus				AB285370			DQ660174										DQ660278		AB564097	DQ660305		DQ660251	DQ660265			DQ660202	
Bassaricyon gabbii							DQ660168		DQ533951								DQ660273		DQ660182	DQ660300		DQ660245	DQ660259	Y08509		DQ660196	
Meles anakuma				AB285353	GU247571				AB564068		AB551117	AB539127				AB564067			AB285337	AB285330			AB285383				
Otaria byronia						EU044841			DQ205812	AY377311			AB697518			DQ205778				AY377328							
Nasua narica							DQ660171		DQ205802							DQ205769	DQ660275		DQ660185	DQ533940		DQ660248	DQ660262			DQ660199	
Bassaricyon alleni							DQ660167	GU931083	GU931133							GU931109	DQ660272		DQ660181	DQ660299		GU931204	DQ660258			DQ660195	
Spilogale putorius					AF306949		GU930861		GU931123							GU931099	GU931256		GU930898	X94928		GU931184			U78346	GU930996	
Manis pentadactyla							AY011251	GU931086														AY011863	AY011919			AY011501	
Manis tricuspis							JN633424	JN632817														JN633792	JN633610			JN633373	
Ictonyx libyca				EF987644			EF987490		EF987772								EF987989	EF987673	EF987520	EF987739		EF987944	EF987971			EF987617	
Vormela peregusna				EF987645			EF987491		EF987773								EF987990	EF987674	AB564103	EF581357		EF987945	AB564109			EF987618	
Galictis cuja				EF987665			EF987514		EF987787								EF988008		AB564020	EF987754		EF987965	EF987984			EF987638	
Vulpes rueppellii				DQ240417					DQ239470							DQ239462		DQ240451								DQ240383	
Vulpes cana				DQ240413					DQ239468							DQ239460		DQ240447								DQ240379	
Galictis vittata				EF987664			EF987513		AF498200								EF988007	EF987691	EF987538	AF498155		EF987964	EF987983			EF987637	
Mirounga leonina		EF094866								AY377302		AY424657								X82298					AY377389		
Lutra sumatrana				EF472310			EF987487		EF472353							EF472350	EF472422	EF472325	EF472293	EF472347		EF987941	EF472409		EF472279	EF987614	
Urocyon littoralis				DQ240412					DQ239467									DQ240446			AY366488					DQ240378	
Arctocephalus australis				GU167353		AF384401	GU167607		DQ205810	AY377312		AY429653				DQ205776	GU167572	GU167378	GU167635	AY377329		GU167519	GU167544			GU174630	
Lutrogale perspicillata				EF472311			EF987488		EF472354							EF472351	EF472423	EF472326	EF472294	EF472348		EF987942	EF472410		EF472280	EF987615	
Mellivora capensis				EF987668					AB564074							EF987771	EF988011	EF987694	EF987542	EF987755		EF987968	AB564075			EF987641	
Aonyx capensis				EF472301			EF987478		AF498184							AF498160	EF472414	EF472316	EF472285	AF057118		EF987933	EF472401		EF472270	EF987606	
Arctocephalus galapagoensis	GQ438569		GQ438656			AF384386														EF534225	HE663129						
Poecilogale albinucha				EF472312	AY750597		EF987489		EF472355								EF472424	EF472327	EF472295	EF472349		EF987943	EF472411		EF472281	EF987616	
Pteronura brasiliensis				EF472309			EF987486		AF498192							AF498168	EF472421	EF472324	EF472292	AF057126		EF987940	EF472408		EF472278	EF987613	
Hydrictis maculicollis				EF472308			EF987485		AF498191							AF498167	EF472420	EF472323	EF472291	AF057125		EF987939	EF472407		EF472277	EF987612	
Lycalopex sechurae				DQ240408					AY885392							AY885368		DQ240442		AF028154						DQ240374	
Atelocynus microtis				DQ240391					AY885380							AY885356		DQ240425		AF028135						DQ240357	
Otocyon megalotis				DQ240403					AY885396							AY885372		DQ240437		AF028150						DQ240369	
Monachus monachus				GU167351			GU167604		DQ205822	AY377304						DQ205787	GU167569	GU167375	GU167632	AY377327		GU167516	GU167541			GU174627	
Nasua nasua					AY525054		DQ660172		GU931131							GU931107	DQ660276		DQ660186	DQ660303		GU931201	DQ660263			DQ660200	
Lycalopex vetulus				DQ240409					DQ239466							DQ239458		DQ240443		EF106996						DQ240375	
