taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	
Perognathus fasciatus		AY926410						GQ480802		AY926421							
Liomys pictus		DQ168512			JF445998			GU985167			AY926426						
Liomys salvini		DQ168546	GU731464	GU731513	JF444676												
Heteromys desmarestianus		AY926358	GU647047	GU731494	JF459427						AY926425						
Dipodomys californicus		AY926368								AY926435			EF156762	EF156800	EF156835		
Microdipodops pallidus		AY926361								AY926428			EF156774	DQ534236	EF156847		
Microdipodops megacephalus		AY926362								AY926429			EF156773	DQ870323	EF156846		
Chaetodipus formosus		AY926387						GQ480800		AY926424			EF156786	EF156821		EU107515	
Heteromys gaumeri		GU646997	GU731447	GU731497	JF445464			FM200057									
Dipodomys deserti		AY926381								AY926448			EF156764	EF156802	EF156837		
Pan troglodytes	HM765385					AY276624	HM763238		AY318831			HM758908					
Pan paniscus	HM765378					AY276085	HM763236		AY318834			HM758906					
Perognathus flavus		FJ514889						GQ480822		AY926417				EF156826		EU107516	
Chaetodipus californicus		AY926401					AY303181	AY303217		AY009259			EF156784	EF156819		EF156857	
