name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Pan_paniscus	NA	NA	NA	9597	NA	NA	NA	9596	NA	NA	207598	9604	314295	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Pan_troglodytes	NA	NA	NA	9598	NA	NA	NA	9596	NA	NA	207598	9604	314295	9526	314293	376913	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_unguiculatus	NA	NA	NA	10047	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_shawi	NA	NA	NA	37435	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_meridianus	NA	NA	NA	261754	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_rex	NA	NA	NA	298885	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_libycus	NA	NA	NA	298886	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_crassus	NA	NA	NA	298887	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_chengi	NA	NA	NA	504098	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_tamariscinus	NA	NA	NA	504099	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Meriones_tristrami	NA	NA	NA	723805	NA	NA	NA	10046	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_nigeriae	NA	NA	NA	39472	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_henleyi	NA	NA	NA	52284	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_gerbillus	NA	NA	NA	298880	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_nanus	NA	NA	NA	298881	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_pyramidum	NA	NA	NA	298882	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_perpallidus	NA	NA	NA	522528	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Gerbillus_latastei	NA	NA	NA	856705	NA	NA	NA	10186	NA	NA	10045	10066	NA	NA	NA	33553	9989	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
