name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Zea_diploperennis	NA	NA	NA	4576	NA	NA	NA	4575	NA	147429	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Zea_mays	NA	NA	NA	4577	NA	NA	NA	4575	NA	147429	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Zea_perennis	NA	NA	NA	4580	NA	NA	NA	4575	NA	147429	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Zea_luxurians	NA	NA	NA	15945	NA	NA	NA	4575	NA	147429	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Zea_nicaraguensis	NA	NA	NA	1293079	NA	NA	NA	4575	NA	147429	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Dioscorea_japonica	NA	NA	NA	4673	NA	NA	NA	4672	NA	NA	NA	4671	NA	NA	NA	NA	40548	NA	NA	NA	4447	NA	NA	35493	NA	NA	33090	2759
Dioscorea_cayenensis	NA	NA	NA	29710	NA	NA	NA	4672	NA	NA	NA	4671	NA	NA	NA	NA	40548	NA	NA	NA	4447	NA	NA	35493	NA	NA	33090	2759
Dioscorea_bulbifera	NA	NA	NA	35874	NA	NA	NA	4672	NA	NA	NA	4671	NA	NA	NA	NA	40548	NA	NA	NA	4447	NA	NA	35493	NA	NA	33090	2759
Dioscorea_caucasica	NA	NA	NA	49457	NA	NA	NA	4672	NA	NA	NA	4671	NA	NA	NA	NA	40548	NA	NA	NA	4447	NA	NA	35493	NA	NA	33090	2759
Dioscorea_sylvatica	NA	NA	NA	50285	NA	NA	NA	4672	NA	NA	NA	4671	NA	NA	NA	NA	40548	NA	NA	NA	4447	NA	NA	35493	NA	NA	33090	2759
