name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Elaeis_guineensis	NA	NA	NA	51953	NA	NA	NA	51952	169729	169705	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elaeis_oleifera	NA	NA	NA	80265	NA	NA	NA	51952	169729	169705	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Hakonechloa_macra	NA	NA	NA	29678	NA	NA	NA	15543	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Phragmites_australis	NA	NA	NA	29695	NA	NA	NA	15745	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Phragmites_japonicus	NA	NA	NA	649499	NA	NA	NA	15745	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Phragmites_mauritianus	NA	NA	NA	1073913	NA	NA	NA	15745	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arundo_donax	NA	NA	NA	35708	NA	NA	NA	35707	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arundo_plinii	NA	NA	NA	512611	NA	NA	NA	35707	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Arundo_formosana	NA	NA	NA	983981	NA	NA	NA	35707	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Molinia_caerulea	NA	NA	NA	38689	NA	NA	NA	38688	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Molinia_litoralis	NA	NA	NA	416050	NA	NA	NA	38688	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Moliniopsis_japonica	NA	NA	NA	42085	NA	NA	NA	42084	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Amphipogon_strictus	NA	NA	NA	57049	NA	NA	NA	57048	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Amphipogon_amphopogonoides	NA	NA	NA	65967	NA	NA	NA	57048	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Amphipogon_caricinus	NA	NA	NA	65968	NA	NA	NA	57048	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elytrophorus_globularis	NA	NA	NA	57053	NA	NA	NA	57052	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elytrophorus_spicatus	NA	NA	NA	1056921	NA	NA	NA	57052	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Styppeiochloa_gynoglossa	NA	NA	NA	57205	NA	NA	NA	57204	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Dregeochloa_pumilla	NA	NA	NA	59279	NA	NA	NA	59278	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Diplopogon_setaceus	NA	NA	NA	66020	NA	NA	NA	66019	NA	147431	156631	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
