name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Elaeis_guineensis	NA	NA	NA	51953	NA	NA	NA	51952	169729	169705	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Elaeis_oleifera	NA	NA	NA	80265	NA	NA	NA	51952	169729	169705	169697	4710	NA	NA	NA	NA	40551	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_notatum	NA	NA	NA	147272	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_simplex	NA	NA	NA	151521	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_arundinellum	NA	NA	NA	158142	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_conjugatum	NA	NA	NA	158143	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_conspersum	NA	NA	NA	158144	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_haumanii	NA	NA	NA	158145	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_malacophyllum	NA	NA	NA	158146	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_paniculatum	NA	NA	NA	158147	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_remotum	NA	NA	NA	158148	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_vaginatum	NA	NA	NA	158149	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_wettsteinii	NA	NA	NA	158150	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_fimbriatum	NA	NA	NA	173847	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_quadrifarium	NA	NA	NA	173848	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_scrobiculatum	NA	NA	NA	173849	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_lineare	NA	NA	NA	237894	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_acuminatum	NA	NA	NA	313886	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_almum	NA	NA	NA	313887	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_coryphaeum	NA	NA	NA	313888	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_conduplicatum	NA	NA	NA	313889	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_cromyorhizon	NA	NA	NA	313890	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_dasypleurum	NA	NA	NA	313891	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_dedeccae	NA	NA	NA	313892	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_dilatatum	NA	NA	NA	313893	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_ellipticum	NA	NA	NA	313894	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_equitans	NA	NA	NA	313895	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_filifolium	NA	NA	NA	313896	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_flaccidum	NA	NA	NA	313897	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_intermedium	NA	NA	NA	313898	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_ionanthum	NA	NA	NA	313899	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_juergensii	NA	NA	NA	313900	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_lividum	NA	NA	NA	313901	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_maculosum	NA	NA	NA	313902	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_minus	NA	NA	NA	313903	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_pallens	NA	NA	NA	313904	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_pauciciliatum	NA	NA	NA	313905	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_pumilum	NA	NA	NA	313906	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
Paspalum_ramboi	NA	NA	NA	313907	NA	NA	NA	147271	1293359	1293356	147369	4479	NA	NA	NA	NA	38820	NA	NA	4734	4447	NA	NA	35493	NA	NA	33090	2759
