taxon	unknown	unknown.1	16S-ribosomal-RNA	unknown.2	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	mitochondrial-DNA-control-region	unknown.8	unknown.9	
Microperoryctes aplini				JF694099									
Rhynchomeles prattorum				JF694112									
Chaeropus ecaudatus		JF718363	JF706364	AF131247								EU369367	
Peroryctes broadbenti	JF912105			JF694108	JF912095	JF912115		JF912136				JF912126	
Dasyurus hallucatus		M99460					AY528917		AY531249	JQ979248	L35341		
Peroryctes raffrayana	EU369361			JF694107	EU369356	EU369366		EU369373				EU369369	
Perameles bougainville	JF912100			AF250019	JF912092	JF912111		JF912132				JF912123	
Microperoryctes papuensis	JF912103	JF718358	JF706354	JF694100	JF912094	JF912114		JF912135				JF912125	
Echymipera clara	JF912096	JF718351	JF706363	AF297694	JF912086	JF912106		JF912127				JF912116	
Perameles gunnii	AY243450			AF250020	JF912091	AY243437		AY243411				JF912122	
Isoodon obesulus	DQ354447				JF912090	JF912110		JF912131				JF912121	
Dasyurus albopunctatus	AY243452	U07580			JN413928		AF166349	AY243414	AY531251	AF157095	AF010272	AY243398	
Echymipera kalubu	AF355796	EU086683	JF706361	JF694110	AY243420	JF912108		AY243405				JF912118	
Isoodon macrourus	EU160441	AF139057		U61074	JN413934	EU160450		EU160456				EU160453	
Macrotis lagotis	EU369359			AF131246	JN413936	EU369364		EU369371					
